Species,circRNA name,circAltas ID,Postion,Strand,Host gene,Disease Name,Expression Pattern,PMID,miRNA
human,chr8:79343654-79372364,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr8:79343654|79372364,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=Smad1"" target=""_blank"">Smad1</a>",Intestinal injury and repair,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=N/A"" target=""_blank"">N/A</a>",N/A
human,chr9:74522734-74523039,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr9:74522734|74523039,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Bladder cancer,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29558461"" target=""_blank"">29558461</a>",N/A
human,circ_0002198/hsa_circ_0002198,"<a href=""./circ_detail.php?ID=hsa-PDE7B_000001"">hsa-PDE7B_000001</a>",chr6:136472297|136476896,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE7B"" target=""_blank"">PDE7B</a>",Ovarian endometriosis,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29483390"" target=""_blank"">29483390</a>",N/A
human,circ_0004712/hsa_circ_0004712,"<a href=""./circ_detail.php?ID=hsa-PDE7B_000002"">hsa-PDE7B_000002</a>",chr6:136468488|136476896,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE7B"" target=""_blank"">PDE7B</a>",Ovarian endometriosis,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29483390"" target=""_blank"">29483390</a>",N/A
human,circ_100855,"<a href=""./circ_detail.php?ID=hsa-C11orf80_000030"">hsa-C11orf80_000030</a>",chr11:66515849|66590145,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf73"" target=""_blank"">C11orf73</a>",Laryngeal squamous cell cancer tissues,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27158380"" target=""_blank"">27158380</a>",N/A
human,circ_104912,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr9:126438998|126641300,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=N/A"" target=""_blank"">N/A</a>",Laryngeal squamous cell cancer tissues,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27158380"" target=""_blank"">27158380</a>",N/A
human,circ_ADCY1/hsa_circ_19159,"<a href=""./circ_detail.php?ID=hsa-ADCY1_000001"">hsa-ADCY1_000001</a>",chr7:45688268|45701813,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY1"" target=""_blank"">ADCY1</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_AFF2,"<a href=""./circ_detail.php?ID=hsa-AFF2_000011"">hsa-AFF2_000011</a>",chrX:147733520|147744289,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=AFF2"" target=""_blank"">AFF2</a>",Hematopoiesis,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=27740630"" target=""_blank"">27740630</a>",N/A
human,circ_ATRNL1,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=ATRNL1"" target=""_blank"">ATRNL1</a>",Glioblastoma,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_BEND6/hsa_circ_0131980,"<a href=""./circ_detail.php?ID=hsa-BEND6_000001"">hsa-BEND6_000001</a>",chr6:56846508|56857353,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=BEND6"" target=""_blank"">BEND6</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_CCT4,"<a href=""./circ_detail.php?ID=hsa-CCT4_000005"">hsa-CCT4_000005</a>",chr2:62099217|62110683,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CCT4"" target=""_blank"">CCT4</a>",Temporal Lobe Epilepsy,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29428937"" target=""_blank"">29428937</a>",N/A
human,circ_COL1A2,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A2"" target=""_blank"">COL1A2</a>",Glioblastoma,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_CORO1C/hsa_circ_01619,"<a href=""./circ_detail.php?ID=hsa-CORO1C_000001"">hsa-CORO1C_000001</a>",chr12:109046047|109048186,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CORO1C"" target=""_blank"">CORO1C</a>",Glioblastoma,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_CRKL/hsa_circ_05707,"<a href=""./circ_detail.php?ID=hsa-CRKL_000004"">hsa-CRKL_000004</a>",chr22:21288066|21288532,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=CRKL"" target=""_blank"">CRKL</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_DROSHA,"<a href=""./circ_detail.php?ID=hsa-DROSHA_000014"">hsa-DROSHA_000014</a>",chr5:31406960|31410994,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=DROSHA"" target=""_blank"">DROSHA</a>",Temporal Lobe Epilepsy,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_EFCAB2,"<a href=""./circ_detail.php?ID=hsa-EFCAB2_000003"">hsa-EFCAB2_000003</a>",chr1:245180544|245222760,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=EFCAB2"" target=""_blank"">EFCAB2</a>",Temporal Lobe Epilepsy,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29428937"" target=""_blank"">29428937</a>",N/A
human,circ_EML5/hsa_circ_07204,"<a href=""./circ_detail.php?ID=hsa-EML5_000172"">hsa-EML5_000172</a>",chr14:89192884|89212627,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=EML5"" target=""_blank"">EML5</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_EPHB4,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHB4"" target=""_blank"">EPHB4</a>",Glioblastoma,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_ERC1/hsa_circ_01909/hsa_circ_02599,"<a href=""./circ_detail.php?ID=hsa-ERC1_000003"">hsa-ERC1_000003</a>",chr12:1399017|1481143,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=ERC1"" target=""_blank"">ERC1</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_ETFA/hsa_circ_10388,"<a href=""./circ_detail.php?ID=hsa-ETFA_000028"">hsa-ETFA_000028</a>",chr15:76566752|76588078,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=ETFA"" target=""_blank"">ETFA</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_FKBP8/hsa_circ_24455,"<a href=""./circ_detail.php?ID=hsa-FKBP8_000002"">hsa-FKBP8_000002</a>",chr19:18650180|18650530,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP8"" target=""_blank"">FKBP8</a>",Glioblastoma,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>","miR-26b-3p,miR-125a-3p,miR-181a-3p,miR-330-5p,miR-382-5p"
human,circ_GLIS3,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=GLIS3"" target=""_blank"">GLIS3</a>",Glioblastoma,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_KCNN2/hsa_circ_22824,"<a href=""./circ_detail.php?ID=hsa-KCNN2_000008"">hsa-KCNN2_000008</a>",chr5:113740134|113740553,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNN2"" target=""_blank"">KCNN2</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>","hsa-miR-412-3p,hsa-miR-363-5p,hsa-miR-608,hsa-miR-564,hsa-miR-196b-3p"
human,circ_MAN1A2/hsa_circ_02643,"<a href=""./circ_detail.php?ID=hsa-MAN1A2_000052"">hsa-MAN1A2_000052</a>",chr1:117944807|117963271,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=MAN1A2"" target=""_blank"">MAN1A2</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_MCTP1/hsa_circ_02559,"<a href=""./circ_detail.php?ID=hsa-MCTP1_000004"">hsa-MCTP1_000004</a>",chr5:94224583|94248681,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=MCTP1"" target=""_blank"">MCTP1</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_MED12L/hsa_circ_15226,"<a href=""./circ_detail.php?ID=hsa-MED12L_000061"">hsa-MED12L_000061</a>",chr3:150834124|150845771,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=MED12L"" target=""_blank"">MED12L</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_MYO9B,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr15:72144473|72176077,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO9B"" target=""_blank"">MYO9B</a>",Temporal Lobe Epilepsy,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29428937"" target=""_blank"">29428937</a>","Col1a2,Col3a1,?-SMA,miR-26b-5p,CTGF"
human,circ_PLOD2,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=PLOD2"" target=""_blank"">PLOD2</a>",Glioblastoma,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_PTN,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=PTN"" target=""_blank"">PTN</a>",Glioblastoma,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_R3HDM1/hsa_circ_12253,"<a href=""./circ_detail.php?ID=hsa-R3HDM1_000136"">hsa-R3HDM1_000136</a>",chr2:136432901|136437894,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=R3HDM1"" target=""_blank"">R3HDM1</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_RIMS1/hsa_circ_14076,"<a href=""./circ_detail.php?ID=hsa-RIMS1_000001"">hsa-RIMS1_000001</a>",chr6:73016960|73043538,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=RIMS1"" target=""_blank"">RIMS1</a>",Glioblastoma,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_RNF10/hsa_circRNA_005086/hsa_circ_005086/hsa_circ_26020,"<a href=""./circ_detail.php?ID=hsa-RNF10_000039"">hsa-RNF10_000039</a>",chr12:120995084|120995485,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF10"" target=""_blank"">RNF10</a>",Tuberculosis,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_RNF10/hsa_circRNA_005086/hsa_circ_005086/hsa_circ_26020,"<a href=""./circ_detail.php?ID=hsa-RNF10_000039"">hsa-RNF10_000039</a>",chr12:120995084|120995485,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF10"" target=""_blank"">RNF10</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_SAFB2/hsa_circ_23587,"<a href=""./circ_detail.php?ID=hsa-SAFB2_000001"">hsa-SAFB2_000001</a>",chr19:5604594|5604947,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=SAFB2"" target=""_blank"">SAFB2</a>",Glioblastoma,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_SDHA,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"" target=""_blank"">SDHA</a>",Primary great saphenous vein varicosities,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29577902"" target=""_blank"">29577902</a>",N/A
human,circ_SLC8A1/hsa_circ_10435,"<a href=""./circ_detail.php?ID=hsa-SLC8A1_000047"">hsa-SLC8A1_000047</a>",chr2:40655613|40657444,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC8A1"" target=""_blank"">SLC8A1</a>",Glioblastoma,Unclear,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_SMO,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",chr7:129205202|129206587,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=SMO"" target=""_blank"">SMO</a>",Glioblastoma,Upregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_SPTAN1,"<a href=""./circ_detail.php?ID=N/A"">N/A</a>",N/A,N/A,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTAN1"" target=""_blank"">SPTAN1</a>",Glioblastoma,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
human,circ_STK17A,"<a href=""./circ_detail.php?ID=hsa-STK17A_000009"">hsa-STK17A_000009</a>",chr7:43635500|43635712,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=STK17A"" target=""_blank"">STK17A</a>",Temporal Lobe Epilepsy,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29428937"" target=""_blank"">29428937</a>",N/A
human,circ_STK24,"<a href=""./circ_detail.php?ID=hsa-STK24_000004"">hsa-STK24_000004</a>",chr13:99157169|99171727,-,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=STK24"" target=""_blank"">STK24</a>",Temporal Lobe Epilepsy,N/A,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=29428937"" target=""_blank"">29428937</a>",N/A
human,circ_STXBP5L/hsa_circ_29892,"<a href=""./circ_detail.php?ID=hsa-STXBP5L_000006"">hsa-STXBP5L_000006</a>",chr3:121097563|121100379,+,"<a href=""http://www.genecards.org/cgi-bin/carddisp.pl?gene=STXBP5L"" target=""_blank"">STXBP5L</a>",Glioblastoma,Downregulated,"<a href=""https://www.ncbi.nlm.nih.gov/pubmed/?term=26873924"" target=""_blank"">26873924</a>",N/A
